,gf,ga,xg,xga,poss,attendance,notes,sh,sot,dist,fk,pk,pkatt,season,venue_code,opp_code,hour,day_code,target,goal_diff,gf_rolling,ga_rolling,sh_rolling,sot_rolling,dist_rolling,fk_rolling,pk_rolling,pkatt_rolling
596,2.0,1.0,1.4,1.2,45.0,19212.0,,15.0,5.0,19.2,1.0,0,0,2023,1,8,14,6,1,1,0.3333333333333333,1.6666666666666667,13.666666666666666,3.3333333333333335,19.0,0.6666666666666666,0.0,0.0
597,1.0,1.0,0.2,2.0,44.0,18972.0,,5.0,1.0,19.7,0.0,0,0,2023,0,7,16,5,0,0,1.0,2.0,12.666666666666666,3.6666666666666665,19.066666666666666,0.6666666666666666,0.0,0.0
598,1.0,3.0,1.1,2.6,48.0,21707.0,,15.0,3.0,18.6,0.0,0,0,2023,1,1,21,4,0,-2,1.0,1.6666666666666667,8.666666666666666,3.0,18.7,0.3333333333333333,0.0,0.0
599,0.0,6.0,0.8,4.5,40.0,59400.0,,12.0,2.0,21.8,2.0,0,0,2023,0,14,16,6,0,-6,1.3333333333333333,1.6666666666666667,11.666666666666666,3.0,19.166666666666668,0.3333333333333333,0.0,0.0
600,3.0,3.0,1.2,1.8,62.0,18010.0,,10.0,6.0,14.7,0.0,0,0,2023,1,11,14,6,0,0,0.6666666666666666,3.3333333333333335,10.666666666666666,2.0,20.033333333333335,0.6666666666666666,0.0,0.0
601,2.0,1.0,2.2,2.0,30.0,14876.0,,14.0,7.0,17.9,0.0,0,0,2023,0,19,14,5,1,1,1.3333333333333333,4.0,12.333333333333334,3.6666666666666665,18.36666666666667,0.6666666666666666,0.0,0.0
602,1.0,0.0,1.1,1.0,38.0,21033.0,,15.0,6.0,19.9,0.0,0,0,2023,1,10,18,5,1,1,1.6666666666666667,3.3333333333333335,12.0,5.0,18.13333333333333,0.6666666666666666,0.0,0.0
603,1.0,2.0,0.9,0.9,51.0,42023.0,,9.0,2.0,24.4,1.0,0,0,2023,0,17,19,3,0,-1,2.0,1.3333333333333333,13.0,6.333333333333333,17.5,0.0,0.0,0.0
604,2.0,5.0,1.8,2.0,57.0,23321.0,,18.0,5.0,19.0,1.0,1,1,2023,1,2,21,6,0,-3,1.3333333333333333,1.0,12.666666666666666,5.0,20.73333333333333,0.3333333333333333,0.0,0.0
605,1.0,2.0,0.6,1.4,48.0,11171.0,,7.0,4.0,14.0,1.0,0,0,2023,0,13,22,3,0,-1,1.3333333333333333,2.3333333333333335,14.0,4.333333333333333,21.099999999999998,0.6666666666666666,0.3333333333333333,0.3333333333333333
606,0.0,3.0,2.0,2.5,55.0,21580.0,,28.0,4.0,20.1,2.0,0,0,2023,1,16,18,6,0,-3,1.3333333333333333,3.0,11.333333333333334,3.6666666666666665,19.13333333333333,1.0,0.3333333333333333,0.3333333333333333
607,0.0,2.0,0.7,2.2,53.0,18938.0,,6.0,2.0,16.2,0.0,0,0,2023,0,6,21,4,0,-2,1.0,3.3333333333333335,17.666666666666668,4.333333333333333,17.700000000000003,1.3333333333333333,0.3333333333333333,0.3333333333333333
608,4.0,0.0,3.4,0.6,53.0,13915.0,,18.0,10.0,11.1,1.0,0,0,2023,1,7,18,6,1,4,1.6666666666666667,0.0,13.333333333333334,5.0,16.2,0.0,0.0,0.0
609,0.0,1.0,1.7,1.9,53.0,53276.0,,14.0,2.0,17.7,0.0,0,0,2023,0,4,21,6,0,-1,2.0,0.0,16.0,7.0,14.866666666666667,0.3333333333333333,0.0,0.0
610,1.0,1.0,1.5,0.6,46.0,18292.0,,17.0,6.0,19.0,1.0,0,0,2023,1,16,16,6,0,0,1.3333333333333333,0.3333333333333333,14.333333333333334,6.0,15.066666666666665,0.3333333333333333,0.0,0.0
611,0.0,0.0,1.6,0.7,60.0,15516.0,,14.0,6.0,19.4,1.0,0,0,2023,0,6,14,5,0,0,1.6666666666666667,0.6666666666666666,16.333333333333332,6.0,15.933333333333332,0.6666666666666666,0.0,0.0
612,0.0,1.0,0.2,1.2,40.0,32689.0,,5.0,1.0,20.1,0.0,0,0,2023,0,15,18,6,0,-1,0.3333333333333333,0.6666666666666666,15.0,4.666666666666667,18.7,0.6666666666666666,0.0,0.0
613,2.0,0.0,1.5,0.5,58.0,9699.0,,11.0,8.0,18.7,0.0,1,1,2023,1,12,21,0,1,2,0.3333333333333333,0.6666666666666666,12.0,4.333333333333333,19.5,0.6666666666666666,0.0,0.0
614,0.0,3.0,0.4,2.1,31.0,73261.0,,5.0,1.0,22.0,0.0,0,0,2023,0,3,21,3,0,-3,0.6666666666666666,0.3333333333333333,10.0,5.0,19.400000000000002,0.3333333333333333,0.3333333333333333,0.3333333333333333
615,2.0,1.0,1.0,1.0,52.0,13816.0,,11.0,5.0,18.8,0.0,0,0,2023,1,0,18,6,1,1,0.6666666666666666,1.3333333333333333,7.0,3.3333333333333335,20.266666666666666,0.0,0.3333333333333333,0.3333333333333333
616,0.0,1.0,0.3,1.7,57.0,46081.0,,6.0,3.0,19.0,0.0,0,0,2023,0,1,18,6,0,-1,1.3333333333333333,1.3333333333333333,9.0,4.666666666666667,19.833333333333332,0.0,0.3333333333333333,0.3333333333333333
617,0.0,2.0,0.5,0.4,71.0,16603.0,,9.0,2.0,22.6,1.0,0,0,2023,1,11,18,6,0,-2,0.6666666666666666,1.6666666666666667,7.333333333333333,3.0,19.933333333333334,0.0,0.0,0.0
618,1.0,0.0,0.7,1.1,56.0,17400.0,,10.0,3.0,17.2,0.0,0,0,2023,0,8,20,2,1,1,0.6666666666666666,1.3333333333333333,8.666666666666666,3.3333333333333335,20.133333333333333,0.3333333333333333,0.0,0.0
619,2.0,1.0,2.5,1.4,52.0,19247.0,,14.0,8.0,17.6,0.0,0,0,2023,1,17,16,5,1,1,0.3333333333333333,1.0,8.333333333333334,2.6666666666666665,19.599999999999998,0.3333333333333333,0.0,0.0
620,2.0,1.0,3.0,2.2,49.0,21088.0,,16.0,4.0,19.7,0.0,1,1,2023,1,14,16,5,1,1,1.0,1.0,11.0,4.333333333333333,19.133333333333336,0.3333333333333333,0.0,0.0
621,1.0,1.0,0.1,2.1,49.0,13931.0,,3.0,1.0,27.6,0.0,0,0,2023,0,5,21,4,0,0,1.6666666666666667,0.6666666666666666,13.333333333333334,5.0,18.166666666666668,0.0,0.3333333333333333,0.3333333333333333
622,1.0,0.0,2.5,0.6,68.0,15129.0,,17.0,7.0,22.8,1.0,1,2,2023,1,10,14,6,1,1,1.6666666666666667,1.0,11.0,4.333333333333333,21.633333333333336,0.0,0.3333333333333333,0.3333333333333333
623,0.0,1.0,0.8,1.0,62.0,14378.0,,12.0,3.0,19.3,1.0,0,0,2023,1,13,21,0,0,-1,1.3333333333333333,0.6666666666666666,12.0,4.0,23.36666666666667,0.3333333333333333,0.6666666666666666,1.0
624,1.0,3.0,1.4,3.0,72.0,18421.0,,14.0,2.0,18.3,0.0,0,0,2023,0,7,16,5,0,-2,0.6666666666666666,0.6666666666666666,10.666666666666666,3.6666666666666665,23.233333333333334,0.6666666666666666,0.3333333333333333,0.6666666666666666
625,0.0,1.0,1.1,1.7,54.0,21178.0,,11.0,2.0,16.1,0.0,0,0,2023,1,3,21,6,0,-1,0.6666666666666666,1.3333333333333333,14.333333333333334,4.0,20.133333333333336,0.6666666666666666,0.3333333333333333,0.6666666666666666
626,2.0,4.0,1.2,2.2,55.0,13957.0,,8.0,4.0,19.4,0.0,0,0,2023,0,11,18,5,0,-2,0.3333333333333333,1.6666666666666667,12.333333333333334,2.3333333333333335,17.900000000000002,0.3333333333333333,0.0,0.0
627,2.0,1.0,1.5,0.6,64.0,13090.0,,11.0,5.0,17.9,1.0,0,0,2023,1,9,21,0,1,1,1.0,2.6666666666666665,11.0,2.6666666666666665,17.933333333333334,0.0,0.0,0.0
628,2.0,0.0,2.1,0.4,71.0,13311.0,,17.0,6.0,13.6,0.0,0,0,2023,0,0,16,5,1,2,1.3333333333333333,2.0,10.0,3.6666666666666665,17.8,0.3333333333333333,0.0,0.0
629,1.0,1.0,1.7,1.0,57.0,19174.0,,15.0,4.0,16.5,1.0,0,0,2023,1,4,18,6,0,0,2.0,1.6666666666666667,12.0,5.0,16.966666666666665,0.3333333333333333,0.0,0.0
630,3.0,0.0,1.8,0.9,45.0,20128.0,,12.0,6.0,20.4,1.0,0,0,2023,0,12,16,6,1,3,1.6666666666666667,0.6666666666666666,14.333333333333334,5.0,16.0,0.6666666666666666,0.0,0.0
